FECHA|CASOS|MUERTES|COUNTRY
10/04/2020|0|0|Angola
11/04/2020|0|0|Angola
12/04/2020|0|0|Angola
13/04/2020|0|0|Angola
14/04/2020|0|0|Angola
27/03/2020|2|0|Anguilla
28/03/2020|0|0|Anguilla
29/03/2020|0|0|Anguilla
30/03/2020|0|0|Anguilla
31/03/2020|0|0|Anguilla
01/04/2020|0|0|Anguilla
02/04/2020|0|0|Anguilla
03/04/2020|1|0|Anguilla
04/04/2020|0|0|Anguilla
05/04/2020|0|0|Anguilla
06/04/2020|0|0|Anguilla
07/04/2020|0|0|Anguilla
08/04/2020|0|0|Anguilla
09/04/2020|0|0|Anguilla
10/04/2020|0|0|Anguilla
11/04/2020|0|0|Anguilla
12/04/2020|0|0|Anguilla
13/04/2020|0|0|Anguilla
14/04/2020|0|0|Anguilla
15/03/2020|1|0|Antigua_and_Barbuda
21/03/2020|0|0|Antigua_and_Barbuda
22/03/2020|0|0|Antigua_and_Barbuda
23/03/2020|0|0|Antigua_and_Barbuda
24/03/2020|0|0|Antigua_and_Barbuda
25/03/2020|2|0|Antigua_and_Barbuda
26/03/2020|0|0|Antigua_and_Barbuda
27/03/2020|4|0|Antigua_and_Barbuda
28/03/2020|0|0|Antigua_and_Barbuda
29/03/2020|0|0|Antigua_and_Barbuda
30/03/2020|0|0|Antigua_and_Barbuda
31/03/2020|0|0|Antigua_and_Barbuda
01/04/2020|0|0|Antigua_and_Barbuda
02/04/2020|0|0|Antigua_and_Barbuda
03/04/2020|2|0|Antigua_and_Barbuda
04/04/2020|6|0|Antigua_and_Barbuda
05/04/2020|0|0|Antigua_and_Barbuda
06/04/2020|0|0|Antigua_and_Barbuda
07/04/2020|0|0|Antigua_and_Barbuda
08/04/2020|0|0|Antigua_and_Barbuda
09/04/2020|0|0|Antigua_and_Barbuda
10/04/2020|4|2|Antigua_and_Barbuda
11/04/2020|2|0|Antigua_and_Barbuda
12/04/2020|0|0|Antigua_and_Barbuda
13/04/2020|0|0|Antigua_and_Barbuda
14/04/2020|2|0|Antigua_and_Barbuda
04/03/2020|1|0|Argentina
06/03/2020|1|0|Argentina
07/03/2020|6|0|Argentina
08/03/2020|1|1|Argentina
09/03/2020|3|0|Argentina
11/03/2020|7|0|Argentina
13/03/2020|12|0|Argentina
14/03/2020|3|1|Argentina
15/03/2020|11|0|Argentina
16/03/2020|11|0|Argentina
17/03/2020|9|0|Argentina
18/03/2020|14|0|Argentina
19/03/2020|18|0|Argentina
20/03/2020|31|1|Argentina
21/03/2020|30|0|Argentina
22/03/2020|67|1|Argentina
23/03/2020|41|0|Argentina
24/03/2020|35|0|Argentina
25/03/2020|86|2|Argentina
26/03/2020|115|2|Argentina
27/03/2020|87|4|Argentina
28/03/2020|101|5|Argentina
29/03/2020|55|2|Argentina
30/03/2020|75|1|Argentina
31/03/2020|146|4|Argentina
01/04/2020|0|0|Argentina
02/04/2020|167|7|Argentina
03/04/2020|0|3|Argentina
04/04/2020|132|3|Argentina
05/04/2020|186|6|Argentina
06/04/2020|103|3|Argentina
07/04/2020|74|7|Argentina
08/04/2020|87|7|Argentina
09/04/2020|80|5|Argentina
10/04/2020|99|14|Argentina
11/04/2020|81|3|Argentina
12/04/2020|162|7|Argentina
13/04/2020|66|6|Argentina
14/04/2020|69|3|Argentina
01/03/2020|1|0|Armenia
02/03/2020|0|0|Armenia
12/03/2020|3|0|Armenia
